"customer_comment","shop_comment","image_comment","video_comment","star_rating"
"Quần lúc mới mua nhìn ok, treo tủ một tuần đang tính lấy ra đi giặt thì thấy bung luôn cái cúc quần, nhắn cho shop thì phản hồi rất chậm, phải nhắn 2-3 lần mới rep, lúc trả lời thì trả lời hời hợt, nói mình cầm búa đập vô là được, đến lúc ko được thì lại bắt mình đem ra tiệm may sửa trong khi đây là lỗi của shop, còn nói là hết bao nhiêu thì shop trả, nhưng gần nhà mình ko có chỗ sửa quần áo mình phải gửi ship đi ship về mất 40k, xong thì mình cũng chỉ lấy 40k chứ ko lấy tiền sửa quần, vậy mà cũng ko trả còn nói sửa chi mất 1-2k thôi, rồi tỏ thái độ như mình ăn vạ 40k của shop, không lẽ bắt mình đi bộ ra tiệm sửa đồ trong khi đây là lỗi của bên shop, nếu ngay từ đã ko muốn trả tiền sửa thì sao không đổi quần khác cho mình đi, mình cũng chẳng rảnh rỗi mà bỏ thời gian mấy ngày ra để ăn vạ 40k, cuối cùng thì mình nói là đổi quần khác cho mình đi, mình trả lại quần này coi như mình chịu mất 40k luôn, chỉ cần 1 cái quần đúng với mô tả và không bị lỗi, thế nhưng shop lại tiếp túc không rep, thật sự rất thất vọng với shop này, livestream thì quảng cáo hay lắm, nói có vấn đề gì là hỗ trợ luôn, đến lúc có vấn đề thì mất hút luôn, làm ăn kiểu qua cầu rút ván thì không bền được đâu, để coi shop còn lừa được bao nhiêu người nữa, mọi người đọc được cmt này thì né ngay shop này nhé, kẻo lại tiếc.","Ui bạn ơi bạn có làm khó shop quá không vậy ạ? Bạn nhận được hàng từ ngày 4/11. Đến ngày 14/11 bạn mới phản hồi là quần bị bung 1 chiếc đinh.Bạn sử dụng sản phẩm sau 10 ngày vẫn yêu cầu shop phải hỗ trợ, rồi chi phí sửa 1 chiếc đinh là 40k nữa thì shop không hỗ trợ bạn được ạ. Bên mình chưa từng từ chối xử lý 1 khiếu nại của khách hàng nào nhưng cũng mong khách hàng đừng quá làm khó cho shop. Hu hu hu",1,1,1
"Dáng quần xấu.  Ý kiến cá nhân, đánh giá thật, ko cần nhận xu.","Dạ vòng bụng khả năng mình đo nhầm rùi, bụng size S khoảng 78-81cm tương đương với cân nặng từ 58-62kg là mặc vừa ý ạ. Shop có hỗ trợ đổi size đó cậu ơi, mình có inbox cậu hỗ trợ rùi mà chưa nhận đươc phản hồi từ cậu ạ hichic",0,0,1
" T copy of your order and the card you are in your room please thank you for the help of the customer support",,0,0,1
" 1. Nhân viên trực chat rep quá chậm, thực sự rất mất hứng mua hàng 2. Giao sai size và được giải thích là do gắn nhầm tag, mình đo thông số ống quần thì M là 23cm nhưng shop vẫn nói là đó là size S, trong khi đó là thông số size M 3. Cái form dáng thực sự rất có vấn đề, minh xin phép nói câu này vì mình có kinh nghiệm may mặc, shop nên điều chỉnh 1 tí để hợp với số đông hơn 4. 1 khi bạn đã tự cho rằng sp này là cao cấp, thì việc gắn nhầm tag nhầm size là chuyện ko bao giờ chấp nhận được trong quy cách làm hàng bán. 5. Đóng gói bình thường, ko có card cám ơn, huơnhs dẫn giặt bảo quản, điều kiện bảo hành và và đổi hàng.","Mình rất cảm ơn những góp ý của cậu để bên mình có thể cải thiện tốt hơn ạ.",1,1,1
" Quần bị lỗi, k dùng được.","Dạ cậu ơi không biết mẫu mình nhận bị lỗi gì vậy ạ, mình có liên hệ cậu để trao đổi kĩ hơn, cậu check inbox shop với ạaaa",1,1,2
"Số đo k đúng tý nào luôn. S từ 60-71 mà t cao 70 mặc vào còn thừa cả ngang tay luôn mà.. 60 mà mặc chắc như cái váy. 😭",,0,0,2
"Sản phầm quần khá khác màu so với trên ảnh","B Brown xin cám ơn phản hồi của cậu, qua mỗi đợt hàng về, trong quá trình xử lí phai màu, màu sắc gữa các lô hàng sẽ có độ chênh lệch khoảng 2-3% cậu à.B Brown rất cám ơn cậu đã góp ý về sản phẩm, bên mình sẽ cố gắng cải thiện để khách hàng có trải nghiệm mua hàng tốt nhất ạ.",0,0,2
"Đặt một mẫu 2 lần giao về 2 cái quần khác màu nhau, đã vậy cái quần sau màu còn xấu hơn quần trước nữa chứ",,0,0,2
"quần bị lủng lổ túi trước :)) chán",,0,0,2
"Mặc 1 lần bị bung đính tán ở gần túi",,0,0,2
"Như kiểu quần cũ đã qua sử dụng còn có mùi như mùi clo","Dạ cậu ơi các mẫu shop gửi đi đều là hàng mới hết ý ạ, mình có liên hệ cậu để trao đổi kĩ hơn, cậu check inbox shop với ạaaa",0,0,3
" Xhkg ggiogxotxog oy og kgcog kgxkg kg. Cchhhvcfgvvv",,0,0,3
"Màu sắc:không đẹpTrông màu xanh mua về trông bị cũ. Mong quần đợt mới shop làm màu sẽ sáng và tươi hơn.","B Brown xin cám ơn phản hồi của cậu, qua mỗi đợt hàng về, trong quá trình xử lí phai màu, màu sắc gữa các lô hàng sẽ có độ chênh lệch khoảng 2-3% cậu à. B Brown rất cám ơn cậu đã góp ý về sản phẩm, bên mình sẽ cố gắng cải thiện để khách hàng có trải nghiệm mua hàng tốt nhất ạ.",0,0,3
"Đúng với mô tả:58kg mặc bị rộng eo nhiềuRộng",,0,0,3
"Phần khoá quần bị lồi vậy, rất điêu",,1,1,3
"Màu quần khi nhận khác nhiều so với ảnh nhưng form đỉnh chất ổn, ko quan tâm quá nhiều tới màu thì ok.",,1,1,3
"Quần màu đẹp, form tôn dáng mặc có độ co giãn dễ chịu. Tuy nhiệ hơi dài với số đo người việt. 1m7 , 65kg mặc size M phải lên lai 2cm nhé","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,4
"Ở ngoài màu quần vàng hơn hình nhiều nha mn. Gói hàng mất 2-3ngày. Cho sốp 4sao nha","B Brown xin cám ơn phản hồi tích cực của cậu, qua mỗi đợt hàng về, trong quá trình xử lí phai màu, màu sắc gữa các lô hàng sẽ có độ chênh lệch khoảng 2-3% cậu à.B Brown rất cám ơn cậu đã góp ý về sản phẩm, bên mình sẽ cố gắng cải thiện để khách hàng có trải nghiệm mua hàng tốt nhất ạ.",0,0,4
"Chất liệu:ổnĐúng với mô tả:7/10Màu sắc:không đậm như ảnh","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",0,0,4
" Form chất liệu ok, màu sắc nhạt ko đc tươi như hình, giao hàng lâu, đóng gói cẩn thận. Hình ảnh nhận xu.","B Brown xin cám ơn phản hồi tích cực của cậu, qua mỗi đợt hàng về, trong quá trình xử lí phai màu, màu sắc gữa các lô hàng sẽ có độ chênh lệch khoảng 2-3% cậu à. B Brown rất cám ơn cậu đã góp ý về sản phẩm, bên mình sẽ cố gắng cải thiện để khách hàng có trải nghiệm mua hàng tốt nhất ạ.",1,1,4
"Quần ok chất liệu ok, điểm trừ cạp cao quá trong khi hông thì nhỏ nên hơi bất tiện trong việc đi xe mở chân khó khăn, các túi trên quần may khá hẹp khó bỏ ví hay đt vào được. So với form relaxed cũ của shop thì hơi bất tiện tính ứng dụng không cao","B Brown xin cám ơn cậu đã góp ý về sản phẩm ạ, bên mình sẽ cố gắng hoàn thiện sản phẩm tốt hơn để khách hàng có trải nghiệm mua hàng trọn vẹn hơn. Mình cám ơn cậu nhiều ạ.",0,0,4
"Quần chuẩn form, đẹp nhưng mà hy vọng sốp sẽ có thêm size nhỏ hơn, mình mặc đúng theo số đo nhưng về vẫn sửa lại khá nhiều 😭",,0,0,4
"nhắn từ chiều cho shop ko trả lời hay phản hồi gì, bên trong ghi size M nhưng tag size L làm mặc lên k vừa, đem tặng sinh nhật mà xấu hổ. shop dang ho tro đổi hangf r",,1,1,4
" Tất cả đều ok, mỗi tội chật bụng. 1m78 76kg mặc L vừa đẹp, quần bt mình mua size 34, mà ở shop này mình mua size j cũng bị chật bụng =)) Hôm trước vừa mua con quần vải của shop size XL xong, cũng chật bụng lại còn dài đạp gót gần 5cm =))",,0,0,4
"Mua size L thì nó chật mà XL thì nó rộng :(",,1,1,4
"bình thường, vải hơi mỏng, form ổn",,0,0,4
"Quần đẹp, vải tot giống với mô tả vừa eo nhưng ống quần khá rộng.","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,4
